Name,Visited,Stars,Food,WinePairing,Date,Headline,Location,Country,Price,PriceWinePairing,Images,URL,Lat,Lon,GoogleRating,FullAddress,Id
Martín Berasategui,checked,3,5,4,2020-07-18,Original Martín Berasategui restaurant in a lovely little village with a view of a birch grove,"Lasarte, San Sebastian",Spain,EUR 315,EUR 175,15,https://www.martinberasategui.com/en/inicio,43.2668083,-2.0156179,4.8,"Loidi Kalea, 4, 20160 Lasarte-Oria, Gipuzkoa, España",1
Marqués de Riscal,checked,1,3,3,2020-07-24,Rioja region kitchen in a gorgeous Marques de Riscal hotel,Elciego,Spain,EUR 150,EUR 90,13,https://www.restaurantemarquesderiscal.com/en/,42.5115878,-2.6176092,4.5,"C. Torrea Kalea, 1, 01340 Eltziego, Álava, España",2
El Celler de Can Roca,checked,3,4,5,2020-09-06,Roca brothers restaurant with an 11-month upfront reservation,Girona,Spain,EUR 265,EUR 110,27,https://cellercanroca.com/en/,41.9933693,2.8082009,4.8,"Carrer de Can Sunyer, 48, 17007 Girona, España",3
Neolokal,checked,1,4,4,2021-03-31,Contemporary Turkish cusine with the amazing views over Istanbul,Istanbul,Türkiye,EUR 65,EUR 35,0,https://www.neolokal.com/en/neolokal_en/,41.0238362,28.9734027,4.3,"Arapcamii Mahı, Bankalar Cd. No:11, 34420, 34421 Beyoğlu/İstanbul, Türkei",4
Mugaritz,checked,2,2,3,2021-07-06,Costly experimental cuisine in the middle of nowhere,"Errenteria, San Sebastian",Spain,EUR 242,EUR 160,20,https://www.mugaritz.com/en/,43.2723008,-1.9170978,4.0,"Aldura Gunea Aldea, 20, 20100 Errenteria, Gipuzkoa, España",5
Konstantin Filippou,checked,2,4,4,2021-09-24,Seafood-focused restaurant with dark settings in the heart of Vienna,Vienna,Austria,EUR 250,EUR 135,9,https://konstantinfilippou.com/restaurant/,48.2106405,16.3798207,4.5,"Dominikanerbastei 17, 1010 Wien, Austria",6
Lasarte,checked,3,4,3,2021-12-03,Chef Martín Berasategui’s gastronomic vision for Barcelona,Barcelona,Spain,EUR 280,EUR 170,20,https://www.restaurantlasarte.com/en/,41.3936111,2.1619444,4.7,"C/ de Mallorca, 259, 08008 Barcelona, España",7
La Cuina de Can Simón,checked,1,3,,2021-12-25,Family-owned restaurant of Catalan cousine in Costa Brava,Tossa de Mar,Spain,EUR 98,EUR 0,6,https://cuinacansimon.com/,41.7165591,2.9324099,4.7,"Carrer del Portal, 24, 17320 Tossa de Mar, Girona, España",8
Cocina Hermanos Torres,checked,3,5,5,2022-04-23,Huge open kitchen where diners can collaborate with chefs on their own refined tasting menus,Barcelona,Spain,EUR 210,EUR 140,12,https://cocinahermanostorres.com/en/,41.3864798,2.1401248,4.7,"Carrer del Taquígraf Serra, 20, 08029 Barcelona, España",9
La Palme d'Or,checked,2,5,4,2022-05-03,Restaurant in the luxury Hotel Martinez with the ceramics made by the chef and his wife,Cannes,France,EUR 280,EUR 130,21,https://www.lapalmedor-restaurant.fr/michelin-starred-restaurant-la-croisette,43.5483819,7.0308582,4.6,"73 Bd de la Croisette, 06400 Cannes, Francia",10
Ajonegro,checked,1,4,,2022-07-17,Fusion cuisine restaurant where they seek to highlight their own personality and cultures: Mexican and Spanish.,Logroño,Spain,EUR 65,EUR 0,13,https://restauranteajonegro.com/,42.4657989,-2.4459416,4.6,"C. Hermanos Moroy, 1, bajo 9, 26001 Logroño, La Rioja, Spain",11
Árbore de Veira,checked,1,4,4,2022-07-18,Seafood-oriented restaurant overlooking the bay of A Coruña,A Coruña,Spain,EUR 70,EUR 65,3,https://arboredaveira.com/,43.3775025,-8.4330881,4.6,"Estrada Os Fortes, s/n, 15011 A Coruña, España",12
Cenador de Amós,checked,3,4,4,2022-07-22,Cozy restaurant in the old building in the middle of Cantabria,"Villaverde de Pontones, Cantabria",Spain,EUR 237,EUR 125,13,https://www.cenadordeamos.com/en/,43.4123995,-3.6991805,4.7,"Plaza del Sol, s/n, 39793 Villaverde de Pontones, Cantabria, España",13
Ibaya,checked,1,3,,2022-08-06,Restaurant with the cuisine from Rioja in the SPA resort at the foot of the mountain,Soldeu,Andorra,EUR 145,EUR 0,16,https://www.hermitagehotel.sporthotelsandorra.co.uk/andorra-gastronomy/the-restaurants/ibaya.html,42.5753656,1.6713544,4.6,"Carretera General II - Tram Soldeu 56 - Sport Hotel Hermitage & Spa, AD100 Soldeu, Andorra",14
RiFF,checked,1,3,3,2022-10-01,Mediterranean cousine with a German touch,Valencia,Spain,EUR 145,EUR 80,19,https://restaurante-riff.com/en/,39.4656743,-0.3686544,4.5,"Carrer del Comte d'Altea, 18, 46005 València, Valencia, España",15
El Portal de Echaurren,checked,2,4,5,2022-10-08,A standard-bearer for the cuisine of the Rioja region,"Ezcaray, La Rioja",Spain,EUR 185,EUR 120,25,https://echaurren.com/el-portal.html,42.3254967,-3.0146231,4.5,"C. Padre Jose Garcia, 19, 26280 Ezcaray, La Rioja, España",16
DiverXO,checked,3,3,5,2022-10-21,"High-end, avant-garde tasting menus served on outré dishware in a sleek, modern dining room",Madrid,Spain,EUR 375,EUR 300,35,https://diverxo.com,40.4578856,4.4,4.4,"NH Eurobuilding, C. del Padre Damián, 23, 28036 Madrid, España",17
Le Calandre,checked,3,5,5,2022-11-19,Elevated precision expertly delivered through innovate yet authentic Italian plates,"Sarmeola di Rubiano, Venice",Italy,EUR 295,EUR 150,20,https://alajmo.it/en/pages/homepage-le-calandre,45.4218184,11.8096570,4.7,"Via Liguria, 1/A, 35030 Sarmeola PD, Italien",18
Miramar,checked,2,3,3,2022-12-03,Seafood-centered kitchen with gorgeous views over the sea,Llançà,Spain,EUR 220,EUR 130,26,Https://restaurantmiramar.com,42.3710557,3.1601403,4.6,"Passeig Marítim, 7, 17490 Llançà, Girona, Spanien",19
Rincon De Diego,checked,1,4,5,2023-03-11,Creative cuisine with the reference to the Cambrils originals,Cambrils,Spain,EUR 115,EUR 50,17,http://www.rincondediego.com/,41.0667776,1.0631022,4.7,"Carrer de les Drassanes, 19, 43850 Cambrils, Tarragona, Spain",20
Les Cols Restaurant de Fina Puigdevall,checked,2,4,4,2023-04-20,"Family-owned restaurant in a 15th century building and ""food that hasn't travelled"" concept",Olot,Spain,EUR 165,EUR 60,28,http://www.lescols.com/,42.1944877,2.5009812,4.4,"Carretera de la Canya, 106, 17800 Olot, Girona, Spain",21
Delta,checked,2,4,3,2023-07-13,"A mysterious Haute Cuisine narrative that gradually unfolds through an Omnivore menu, full of gastronomic twists",Athens,Greece,EUR 200,EUR 200,19,https://deltarestaurant.gr/,37.9390808,23.6914694,4.2,"Leof. Andrea Siggrou 364, Athina 176 74, Greece",22
Can Jubany,checked,1,4,3,2023-07-27,"A historic farmhouse near Vic, Can Jubany merges traditional charm with modern design, offering a culinary blend of old and new",Calldetenes,Spain,EUR 145,EUR 90,26,https://canjubany.com/,41.9294164,2.3013424,4.8,"Ctra. de Sant Hilari, s/n, 08506 Calldetenes, Barcelona, Spain",23
180° by Matthias Diether ,checked,2,3,4,2023-08-24,"Berlin-born Chef Matthias Diether, known for his elegant dishes, has journeyed from Germany to Dubai and now thrives in Estonia's cuisine",Tallinn,Estonia,EUR 239,EUR 145,14,https://www.180degrees.ee/,59.4520567,24.7283735,4.8,"Staapli 4, 10415 Tallinn, Estonia",24
Ciel Bleu,checked,2,4,5,2023-09-15,An unforgettable gastronomic experience with panoramic views of Amsterdam,Amsterdam,Netherlands,EUR 330,EUR 200,14,https://www.cielbleu.nl/,52.3488870,4.8939960,4.7,"Ferdinand Bolstraat 333, 1072 LH Amsterdam, Netherlands",25
ABaC,checked,3,4,4,2023-12-02,"At Jordi Cruz's restaurant, embark on a culinary journey where tradition meets innovation, flavors explode, and seasons dictate the menu.",Barcelona,Spain,EUR 295,EUR 140,25,http://www.abacrestaurant.com/,41.4106347,2.1363587,4.4,"Av. del Tibidabo, 1, Sarrià-Sant Gervasi, 08022 Barcelona, Spain",26
Le Bernardin,checked,3,3,2,2024-04-21,"This pricey restaurant has delighted NYC’s elite for nearly 30 years with impeccable seafood and impressive vegetarian dishes, offering indulgent desserts to finish.",New York,United States,EUR 300,EUR 170,13,https://www.le-bernardin.com/home,40.7614218,-73.9817558,4.6,"155 W 51st St, New York, NY 10019, USA",28
Max Cekot Kitchen,checked,1,2,3,2024-06-14,"Despite its fine dining promise and high prices, Max Cekot Kitchen disappointed with mediocre food that failed to justify the expense.",Riga,Latvia,EUR 200,EUR 200,18,http://www.maxcekot.com/,56.9301055,24.0985157,4.8,"Jelgavas iela 42, Zemgales priekšpilsēta, Rīga, LV-1004, Latvia",29
JY's,checked,2,4,4,2024-08-15,"At JY’S in Colmar, Chef Jean-Yves Schillinger offers exceptional cuisine blending local and global flavors in a contemporary, plant-inspired setting.",Colmar,France,EUR 180,EUR 95,12,https://www.jean-yves-schillinger.com/,48.0755934,7.3535334,4.5,"3 All. du Champ de Mars, 68000 Colmar, France",30
Lillas Pastia,checked,1,3,2,2024-09-07,"Experience the soulful delights of La Taberna de Lillas Pastia, where chef Carmelo Bosque’s passionate, truffle-inspired cuisine flourishes in a stunning modernist setting.",Huesca,Spain,EUR 70,EUR 50,13,http://www.lillaspastia.es/,42.1362450,-0.4101274,4.5,"C. del Parque, 3, 22002 Huesca, Spain",31
Spectrum,checked,2,4,4,2024-09-13,Embracing local treasures: A Chef’s passion for crafting unforgettable culinary adventures,Amsterdam,Netherlands,EUR 250,EUR 130,15,http://www.restaurantspectrum.com/,52.3645908,4.8965796,4.7,"Herengracht 542, 556, 1017 CG Amsterdam, Netherlands",32
Coque,checked,2,4,3,2025-05-03,"Three generations, one unforgettable culinary journey (but skip the wine pairing)",Madrid,Spain,EUR 360,EUR 365,20,https://restaurantecoque.com/,40.4306820,-3.6904510,4.7,"C. del Marqués del Riscal, 11, Chamberí, 28010 Madrid, Spain",33
Grual,checked,1,4,4,2025-05-22,"Ascend culinary heights: wildly creative dishes, nature-inspired excellence",Pinzolo,Italy,EUR 180,EUR 130,15,https://dolomiti.lefayresorts.com/it/lefay-vital-gourmet-dolomiti-ristorante-di-lusso-dolomiti,46.1670858,10.7663579,4.9,"Via Alpe di Grual, 16, 38086 Pinzolo TN, Italy",34
JOHN chef's hall,checked,1,3,,2025-06-19,"A beautifully curated seasonal concept with bold local ambition — memorable in parts, but still searching for the consistency to fully match its storytelling",Riga,Latvia,EUR 210,,5,https://jch.johnrestaurant.com/eng,56.962465,24.100567,4.9,"Ausekļa iela 22, Centra rajons, Rīga, LV-1010, Latvia",35
Quique Dacosta,checked,3,5,4,2025-11-29,"A masterclass in culinary artistry — every detail, from technique to storytelling, delivers a truly world-class experience",Denia,Spain,EUR 315,EUR 165,15,https://quiquedacosta.es/en/home/,38.853742,0.085191,4.5,"Carrer Rascassa, 1, 03700 Dénia, Alicante, Spain",36
La Boscana,checked,2,4,,2026-04-14,"An elegant farm-to-table experience where refined gastronomy, sustainability, and the tranquility of the countryside come together beautifully",Bellvís,Spain,EUR 170,,13,https://laboscana.net/en/,41.661911,0.808007,4.8,"LV-3311, 4, 25142 Bellvís, Lleida, Spain",37
